month_key,country_key,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
78,3,462,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
79,3,463,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
80,3,464,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
81,3,465,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
82,3,466,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
83,3,467,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
84,3,468,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
85,3,469,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
86,3,470,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
87,3,471,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
88,3,472,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
89,3,473,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
90,3,474,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
91,3,475,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
92,3,476,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
93,3,477,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
94,3,478,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
95,3,479,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
96,3,480,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
97,3,481,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
98,3,482,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
99,3,483,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
100,3,484,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
101,3,485,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
102,3,486,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
103,3,487,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
104,3,488,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
105,3,489,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
