month_key,country_key,population_key,p_male,p_female,p_rural,p_growth_urban,p_growth_rural,p_0004_male,p_0004_female,p_0509_male,p_0509_female,p_1014_male,p_1014_female,p_1519_male,p_1519_female,p_2024_male,p_2024_female,p_2529_male,p_2529_female,p_3034_male,p_3034_female,p_3539_male,p_3539_female,p_4044_male,p_4044_female,p_4549_male,p_4549_female,p_5054_male,p_5054_female,p_5559_male,p_5559_female,p_6064_male,p_6064_female,p_6569_male,p_6569_female,p_7074_male,p_7074_female,p_7579_male,p_7579_female,p_80UP_male,p_80UP_female
95,2,287,49.41659507,50.58340493,81.119,0.949565508,-0.188989155,6.81262257,6.362247897,6.846398631,6.394570011,6.846914773,6.399159757,7.291573521,6.781375286,7.400021374,6.900649521,7.007650213,6.669776019,6.566657299,6.381224431,6.395181462,6.289322485,6.621739529,6.41128535,7.09343356,6.83745631,7.16366176,7.082386107,6.478939546,6.612851454,5.479505917,5.786160747,4.094914231,4.545042561,2.949434272,3.355914852,2.143960561,2.604508326,2.807390782,4.586068889
96,2,288,49.41659507,50.58340493,81.119,0.949565508,-0.188989155,6.81262257,6.362247897,6.846398631,6.394570011,6.846914773,6.399159757,7.291573521,6.781375286,7.400021374,6.900649521,7.007650213,6.669776019,6.566657299,6.381224431,6.395181462,6.289322485,6.621739529,6.41128535,7.09343356,6.83745631,7.16366176,7.082386107,6.478939546,6.612851454,5.479505917,5.786160747,4.094914231,4.545042561,2.949434272,3.355914852,2.143960561,2.604508326,2.807390782,4.586068889
97,2,289,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
98,2,290,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
99,2,291,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
100,2,292,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
101,2,293,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
102,2,294,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
103,2,295,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
104,2,296,49.43370371,50.56629629,81.299,0.914510414,-0.26505129,6.673859583,6.236285489,6.82431112,6.378205055,6.787467855,6.348837343,7.153185819,6.675116712,7.450892776,6.949424119,7.083841125,6.718593877,6.625046381,6.426693094,6.360769832,6.251508122,6.502625289,6.340265041,6.928010724,6.672118438,7.124496203,7.016901229,6.565870571,6.686837921,5.570682362,5.872621758,4.305300405,4.750702151,3.008938037,3.461234201,2.196638859,2.631449763,2.838063058,4.583205686
