year_code,country_code,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
2010,2,22,9.63,10.51,8.61,13.1,20.5,5.8,99.86076619,99.85138983,99.90014735,98.97895208,99.71441514,95.88944969,0,0.6,0.7,2.5,4.3,0.7
2011,2,23,8.95,9.37,8.46,13.4,20.9,6,99.84103269,99.84975935,99.8039645,99.07488707,99.73578807,96.26758346,0,0.6,0.7,2.4,4.2,0.7
2012,2,24,8.07,8.22,7.89,13.5,21.1,6.1,99.82162867,99.84812887,99.70778165,99.16968809,99.75716101,96.64571722,0,0.6,0.7,2.3,4.2,0.7
2013,2,25,7.38,7.63,7.07,13.5,21,6.2,99.80256859,99.84649839,99.61159879,99.26337949,99.77853394,97.02385099,0,0.6,0.7,2.3,4.2,0.8
2014,2,26,6.17,6.26,6.06,14,21.6,6.5,99.78386084,99.84486791,99.51541594,99.35588121,99.79990687,97.40198475,0,0.6,0.7,2.3,4.3,0.7
2015,2,27,5.28,5.37,5.18,14.4,22.2,6.8,99.7655241,99.84323742,99.41923309,99.44715776,99.82127981,97.78011851,0,0.6,0.7,2.4,4.5,0.7
2016,2,28,4.87,4.94,4.79,15.1,23.5,7,99.74755356,99.84160694,99.32305024,99.53713865,99.84265274,98.15825228,0,0.6,0.7,2.5,4.7,0.7
2017,2,29,4.36,4.4,4.31,15.9,24.9,7.1,99.72996764,99.83997646,99.22686738,99.62581578,99.86402567,98.53638604,0,0.6,0.7,2.6,4.9,0.6
2018,2,30,3.9,3.95,3.84,15.7,24.3,7.2,99.71277377,99.83834598,99.13068453,99.71312112,99.8853986,98.91451981,0,0.6,0.8,2.6,5,0.6
2019,2,31,3.67,3.72,3.61,16.1,25,7.5,99.69599445,99.8367155,99.03450168,99.79904438,99.90677154,99.29265357,0,0.6,0.8,2.6,5.1,0.6
2020,2,32,8.31,3.72,3.61,16.1,25,7.5,99.67961928,99.83508502,98.93831882,99.88352668,99.92814447,99.67078734,0,0.6,0.8,2.6,5.1,0.6
2005,3,33,3.56,3.37,3.91,4.1,6.9,1.4,81.27377788,87.14583541,62.36085428,93.09668937,96.60292525,81.80368497,6.910224385,1.4,1.6,3.5,5,19.8
2006,3,34,3.57,3.38,3.89,4,6.8,1.3,82.07830717,87.59351893,64.00811634,93.71099729,96.89332254,83.2843433,6.413280454,1.4,1.6,3.6,5.1,18
2007,3,35,3.63,3.42,4,4.1,6.7,1.5,82.87293106,88.04201393,65.6456319,94.32032157,97.18390312,84.77669523,5.923779375,1.3,1.6,3.7,5.3,17.4
2008,3,36,3.87,3.78,4.04,4.4,7.1,1.7,83.65830449,88.49132043,67.27340096,94.90809059,97.47192479,86.21616916,5.441312933,1.3,1.6,4,5.7,17.9
2009,3,37,5.36,5.36,5.35,4.6,7.5,1.8,84.43419231,88.9414384,68.89142351,95.36710258,97.72787166,87.22624414,4.966066408,1.3,1.6,4.2,6.1,18.8
2010,3,38,5.3,5.37,5.18,4.5,7.5,1.7,85.20102819,89.39236786,70.49969957,95.82133427,97.98381853,88.23631912,4.497791888,1.3,1.6,4.4,6.4,14.8
2011,3,39,5.17,5.19,5.13,5.2,8.6,2,85.95971004,89.84410881,72.09822913,96.27120298,98.23976541,89.2463941,4.035972895,1.3,1.6,4.4,6.4,13.7
2012,3,40,4.89,4.89,4.88,4.9,7.9,1.9,86.70980432,90.29666125,73.6870122,96.71644433,98.49571228,90.25646908,3.58092129,1.2,1.5,4.2,6.3,15.4
2013,3,41,4.91,4.89,4.96,5.2,8.5,2,87.45178303,90.75002516,75.26604876,97.15725463,98.75165915,91.26654406,3.132406947,1.2,1.5,4,6,15.1
2014,3,42,4.81,4.79,4.85,5.7,9.2,2.3,88.18573213,91.20420057,76.83533882,97.5936259,99.00760603,92.27661905,2.69042959,1.2,1.5,3.8,5.8,14.4
2015,3,43,4.31,4.23,4.45,5.6,9,2.3,88.91148404,91.65918746,78.39488239,98.02544354,99.2635529,93.28669403,2.255108509,1.2,1.5,3.8,5.8,14.8
2016,3,44,3.86,3.83,3.91,5.6,9.2,2.1,89.62944687,92.11498583,79.94467945,98.45286453,99.51949977,94.29676901,1.826280678,1.1,1.5,3.9,6.1,11.4
2017,3,45,3.42,3.31,3.6,5.9,9.8,2.2,90.33947554,92.57159569,81.48473002,98.87578129,99.77544665,95.30684399,1.404019929,1.1,1.5,4.1,6.5,11.1
2018,3,46,3.28,3.2,3.43,5.4,8.7,2.2,91.04184497,93.02901704,83.01503408,99.26913243,100,96.31691897,0.988233853,1.1,1.4,4.3,6.9,10.8
2019,3,47,3.48,3.46,3.52,5.3,8.5,2.2,91.73666093,93.48724987,84.53559165,99.47726394,100,97.32699395,0.351365143,1.1,1.4,4.4,7.2,10.1
2020,3,48,4.71,3.46,3.52,5.3,8.5,2.2,92.42406261,93.94629419,86.04640272,99.67956828,100,98.33706893,0.096456614,1.1,1.4,4.4,7.2,10.7
2005,4,49,12.1,10.55,18.23,6.3,7.6,4.9,81.80364137,89.13992307,66.52638946,95.15500125,98.19230917,88.83003719,0.488579216,2.7,2.7,5.3,7.1,51.8
2006,4,50,11.2,9.99,16.16,6,7.3,4.6,82.53041127,89.45736381,67.64774831,95.34517093,98.22245434,89.16328373,0.479089571,2.8,2.7,5.4,7.3,43
2007,4,51,10.6,9.33,15.94,6.4,8,4.8,83.23447282,89.77480455,68.76910715,95.52631238,98.25259951,89.49653028,0.470380177,2.8,2.7,5.5,7.5,41.9
2008,4,52,10.48,9.12,16.83,6.2,7.8,4.5,83.9222185,90.09224528,69.89046599,95.70103951,98.28274468,89.82977682,0.462102726,2.8,2.8,5.6,7.7,45.2
2009,4,53,11.97,10.84,16.98,6.2,8,4.3,84.59905908,90.40968602,71.01182483,95.87159996,98.31288985,90.16302337,0.453922929,2.8,2.8,5.6,7.7,42.7
2010,4,54,13.52,11.93,20.67,6.3,8.3,4.3,85.26534226,90.72712676,72.13318368,96.03812638,98.34303502,90.49626992,0.445826665,2.7,2.7,5.4,7.4,43.7
