health_key,domestic_health_expenditure,num_hospital_beds,num_physicians,num_nurses,immunization_bcg,immunization_dpt,immunization_hepb,immunization_measles,immunization_polio,mort_infant,mort_infant_male,mort_infant_female,mort_non_communicable_disease,mort_non_communicable_disease_male,mort_non_communicable_disease_female,mort_unintentional_poison,mort_unintentional_poison_male,mort_unintentional_poison_female,mort_traffic_injury,mort_traffic_injury_male,mort_traffic_injury_female,mort_maternal,stillbirth_rate,fertility_rate
15,7.924765,2.52,2.4425,11.812,,91,74,90,91,4.2,4.5,3.9,9.6,11.2,8.0,0.3,0.4,0.3,5.3,7.3,3.4,,2.766615649,1.4684
16,7.918918,2.52,2.4425,11.812,,91,74,90,91,4.2,4.5,3.9,9.6,11.2,8.0,0.3,0.4,0.3,5.3,7.3,3.4,,2.766615649,1.4684
17,6.62959194,3.2,,9.9177,,96,93,92,92,6.7,7.4,6.0,16.1,19.3,13.1,0.4,0.5,0.3,15.7,22.0,9.6,13.0,2.985313589,2.057
18,6.80947447,3.18,,,,96,93,92,93,6.7,7.3,6.0,15.7,18.8,12.7,0.4,0.5,0.3,15.6,21.9,9.5,14.0,2.962895127,2.108
19,6.92363548,3.14,,,,96,93,92,93,6.6,7.2,5.9,15.4,18.5,12.4,0.4,0.5,0.3,14.9,21.2,8.8,14.0,2.990365551,2.12
20,7.25218725,3.13,,,,96,94,92,94,6.5,7.1,5.9,15.2,18.3,12.3,0.4,0.6,0.3,13.4,19.2,7.8,14.0,3.08444569,2.072
21,7.87894869,3.08,,,,95,92,90,93,6.4,6.9,5.7,14.9,18.0,12.0,0.4,0.5,0.3,12.1,17.1,7.3,15.0,2.969908681,2.002
22,7.95006084,3.05,,12.5927,,95,92,92,93,6.2,6.8,5.6,14.5,17.5,11.7,0.4,0.5,0.3,11.7,16.4,7.1,15.0,2.972871293,1.931
23,7.93388987,2.97,,,,96,91,92,94,6.1,6.7,5.6,14.3,17.3,11.6,0.4,0.6,0.3,11.6,16.5,6.8,15.0,2.965430265,1.8945
24,7.90685177,2.93,,,,94,90,91,93,6.0,6.6,5.5,14.2,17.1,11.5,0.4,0.5,0.3,11.9,16.9,7.0,16.0,2.972029934,1.8805
25,7.93758345,2.89,,,,94,91,92,93,6.0,6.5,5.4,14.0,16.9,11.3,0.4,0.5,0.3,11.4,16.2,6.7,16.0,2.979816812,1.8575
